saccade_ser,Id,QuestionsNum,Answer,stime,etime,sxp,syp,exp,eyp,dur,ampl
1,00a17d6c125942fcadcdf62eeec74ae2,1,1,18724720,18724752,1404.658752,1093.64472,1244.061696,1075.388832,32,161.63134548266217
2,00a17d6c125942fcadcdf62eeec74ae2,1,1,18724928,18725024,1244.061696,1075.388832,902.486208,807.307452,96,434.2135883469592
3,00a17d6c125942fcadcdf62eeec74ae2,1,1,18725152,18725905,902.486208,807.307452,852.330816,471.334032,753,339.6964855472751
4,00a17d6c125942fcadcdf62eeec74ae2,1,1,18726064,18726225,852.330816,471.334032,911.977344,788.5323,161,322.7575708246897
5,00a17d6c125942fcadcdf62eeec74ae2,1,1,18726338,18726608,911.977344,788.5323,1396.371648,881.6945039999999,270,493.2717689081568
6,00a17d6c125942fcadcdf62eeec74ae2,1,1,18726769,18726800,1396.371648,881.6945039999999,1299.057792,901.255464,31,99.26035324191797
7,00a17d6c125942fcadcdf62eeec74ae2,1,1,18726896,18727681,1299.057792,901.255464,493.901952,777.566736,785,814.6010238886051
8,00a17d6c125942fcadcdf62eeec74ae2,2,1,18727936,18728048,493.901952,777.566736,609.0528,450.8298,112,346.4343273144092
9,00a17d6c125942fcadcdf62eeec74ae2,2,1,18728305,18728448,609.0528,450.8298,812.95104,456.422364,143,203.9749225939103
10,00a17d6c125942fcadcdf62eeec74ae2,2,1,18728640,18728673,812.95104,456.422364,706.830528,470.022588,33,106.98845339564609
11,00a17d6c125942fcadcdf62eeec74ae2,2,1,18728944,18729040,706.830528,470.022588,500.200128,825.163092,96,410.8782055372784
12,00a17d6c125942fcadcdf62eeec74ae2,2,1,18729184,18729312,500.200128,825.163092,957.105408,820.645344,128,456.92761455056524
13,00a17d6c125942fcadcdf62eeec74ae2,2,1,18729457,18729552,957.105408,820.645344,500.20166400000005,807.35886,95,457.09688462983394
14,00a17d6c125942fcadcdf62eeec74ae2,2,1,18729648,18729792,500.20166400000005,807.35886,585.84288,484.94538,144,333.59386979329986
15,00a17d6c125942fcadcdf62eeec74ae2,2,1,18730047,18730112,585.84288,484.94538,743.785152,452.675952,65,161.20507829460325
16,00a17d6c125942fcadcdf62eeec74ae2,2,1,18730417,18730448,743.785152,452.675952,852.823488,463.691196,31,109.59331329067675
17,00a17d6c125942fcadcdf62eeec74ae2,2,1,18730594,18730624,852.823488,463.691196,694.976832,451.85450399999996,30,158.2898420236915
18,00a17d6c125942fcadcdf62eeec74ae2,2,1,18730750,18730896,694.976832,451.85450399999996,631.008192,479.870028,146,69.83449354326392
19,00a17d6c125942fcadcdf62eeec74ae2,3,1,18731200,18731232,631.008192,479.870028,746.664768,481.189788,32,115.66410566161557
20,00a17d6c125942fcadcdf62eeec74ae2,3,1,18731520,18731569,746.664768,481.189788,553.718208,479.463084,49,192.95428609527494
21,00a17d6c125942fcadcdf62eeec74ae2,3,1,18731729,18731888,553.718208,479.463084,506.489472,810.8146439999999,159,334.70047776869285
22,00a17d6c125942fcadcdf62eeec74ae2,3,1,18732161,18732530,506.489472,810.8146439999999,682.1376,477.284508,369,376.9543957696778
23,00a17d6c125942fcadcdf62eeec74ae2,4,1,18732705,18732896,682.1376,477.284508,566.382144,457.2963,191,117.46852366833933
24,00a17d6c125942fcadcdf62eeec74ae2,4,1,18733073,18733264,566.382144,457.2963,506.03558400000003,782.338716,191,330.59685343776437
25,00a17d6c125942fcadcdf62eeec74ae2,4,1,18733504,18733680,506.03558400000003,782.338716,609.3786240000001,453.045528,176,345.12865366359387
26,00a17d6c125942fcadcdf62eeec74ae2,4,1,18733777,18733808,609.3786240000001,453.045528,711.0215039999999,458.18276399999996,31,101.7726203279353
27,00a17d6c125942fcadcdf62eeec74ae2,4,1,18733905,18734079,711.0215039999999,458.18276399999996,673.232448,511.683372,174,65.50059396479396
