saccade_ser,Id,QuestionsNum,Answer,stime,etime,sxp,syp,exp,eyp,dur,ampl
1,00a45dae43da4bd9b262e11f4db1b6c0,1,1,22988697,22988937,930.800832,396.45104399999997,476.802816,444.44678400000004,240,456.52797240704086
2,00a45dae43da4bd9b262e11f4db1b6c0,1,1,22989738,22989769,476.802816,444.44678400000004,582.064512,444.914532,31,105.2627352532126
3,00a45dae43da4bd9b262e11f4db1b6c0,1,1,22990266,22990297,582.064512,444.914532,803.1033600000001,467.495172,31,222.18923832619956
4,00a45dae43da4bd9b262e11f4db1b6c0,1,1,22990905,22990969,803.1033600000001,467.495172,929.092032,758.938248,64,317.50938887010153
5,00a45dae43da4bd9b262e11f4db1b6c0,1,1,22991178,22991578,929.092032,758.938248,1361.416704,741.822084,400,432.6633623153022
6,00a45dae43da4bd9b262e11f4db1b6c0,1,1,22991785,22991913,1361.416704,741.822084,739.977024,756.6970319999999,128,621.6176798937632
7,00a45dae43da4bd9b262e11f4db1b6c0,1,1,22992010,22992041,739.977024,756.6970319999999,508.259136,777.402468,31,232.64112856313832
8,00a45dae43da4bd9b262e11f4db1b6c0,1,1,22992250,22992282,508.259136,777.402468,639.896448,778.542948,32,131.64225235544907
9,00a45dae43da4bd9b262e11f4db1b6c0,1,1,22992378,22992409,639.896448,778.542948,916.984512,777.750984,31,277.0891957804299
10,00a45dae43da4bd9b262e11f4db1b6c0,1,1,22992681,22993226,916.984512,777.750984,752.189952,414.368352,545,399.0039902618031
10,00a45dae43da4bd9b262e11f4db1b6c0,2,1,22992681,22993226,916.984512,777.750984,752.189952,414.368352,545,399.0039902618031
11,00a45dae43da4bd9b262e11f4db1b6c0,2,1,22993417,22993451,752.189952,414.368352,493.74508800000007,447.846516,34,260.60417339864176
12,00a45dae43da4bd9b262e11f4db1b6c0,2,1,22993931,22993961,493.74508800000007,447.846516,638.6012159999999,446.27101200000004,30,144.86469560250472
13,00a45dae43da4bd9b262e11f4db1b6c0,2,1,22994969,22995001,638.6012159999999,446.27101200000004,772.0821119999999,444.40261200000003,32,133.49397183214987
14,00a45dae43da4bd9b262e11f4db1b6c0,2,1,22995225,22995257,772.0821119999999,444.40261200000003,837.345792,445.12804800000004,32,65.26771165386833
