saccade_ser,Id,QuestionsNum,Answer,stime,etime,sxp,syp,exp,eyp,dur,ampl
1,00aad6b578474af5863466361fdf649f,1,1,38918116,38918388,833.0352,434.614464,552.315648,381.584088,272,285.68459470853884
2,00aad6b578474af5863466361fdf649f,1,1,38918517,38918580,552.315648,381.584088,598.852992,328.70664,63,70.43968266231073
3,00aad6b578474af5863466361fdf649f,1,1,38918675,38919620,598.852992,328.70664,963.5287679999999,804.072312,945,599.1334940705733
4,00aad6b578474af5863466361fdf649f,1,1,38919747,38919861,963.5287679999999,804.072312,471.928128,789.10686,114,491.8283786057631
5,00aad6b578474af5863466361fdf649f,1,1,38920020,38920165,471.928128,789.10686,1420.410624,797.6005200000001,145,948.5205255968823
6,00aad6b578474af5863466361fdf649f,1,1,38920530,38920595,1420.410624,797.6005200000001,863.978304,512.2143,65,625.3496792247287
7,00aad6b578474af5863466361fdf649f,1,1,38920724,38920756,863.978304,512.2143,845.618304,469.608516,32,46.393344676307336
8,00aad6b578474af5863466361fdf649f,1,1,38920932,38921060,845.618304,469.608516,546.807744,786.1347,128,435.2890716812397
9,00aad6b578474af5863466361fdf649f,1,1,38921396,38921461,546.807744,786.1347,515.134272,781.350192,65,32.032801084776274
10,00aad6b578474af5863466361fdf649f,2,1,38921732,38921861,515.134272,781.350192,581.359104,377.83303199999995,129,408.9154274271073
11,00aad6b578474af5863466361fdf649f,2,1,38921972,38922004,581.359104,377.83303199999995,500.4336,411.97571999999997,32,87.83313919882039
12,00aad6b578474af5863466361fdf649f,2,1,38922675,38922980,500.4336,411.97571999999997,747.7668480000001,442.489824,305,249.20843908092752
13,00aad6b578474af5863466361fdf649f,2,1,38923076,38923108,747.7668480000001,442.489824,635.077824,440.84671199999997,32,112.70100242285847
14,00aad6b578474af5863466361fdf649f,2,1,38923443,38923476,635.077824,440.84671199999997,694.388544,435.09635999999995,33,59.588824917448335
15,00aad6b578474af5863466361fdf649f,2,1,38923972,38924020,694.388544,435.09635999999995,843.174912,441.089172,48,148.90700822425634
16,00aad6b578474af5863466361fdf649f,2,1,38924309,38924549,843.174912,441.089172,526.0944000000001,770.878728,240,457.4944833950014
17,00aad6b578474af5863466361fdf649f,2,1,38924756,38924947,526.0944000000001,770.878728,835.3215359999999,446.399748,191,448.2276543237854
18,00aad6b578474af5863466361fdf649f,2,1,38925188,38925428,835.3215359999999,446.399748,955.8998399999999,795.882996,240,369.6994293045987
19,00aad6b578474af5863466361fdf649f,2,1,38925588,38925683,955.8998399999999,795.882996,533.755392,793.040436,95,422.15401824994893
20,00aad6b578474af5863466361fdf649f,2,1,38925955,38926052,533.755392,793.040436,577.550592,434.029644,97,361.6721834970271
21,00aad6b578474af5863466361fdf649f,3,2,38926292,38926388,577.550592,434.029644,735.57888,395.488548,96,162.66024680016983
22,00aad6b578474af5863466361fdf649f,3,2,38926501,38926563,735.57888,395.488548,572.4708479999999,438.68736,62,168.73164333083585
23,00aad6b578474af5863466361fdf649f,3,2,38926932,38926965,572.4708479999999,438.68736,647.856768,429.29049599999996,33,75.96932267225307
24,00aad6b578474af5863466361fdf649f,3,2,38927060,38927205,647.856768,429.29049599999996,714.340032,432.002484,145,66.5385547709434
25,00aad6b578474af5863466361fdf649f,3,2,38927298,38927396,714.340032,432.002484,762.505536,447.456852,98,50.58412068874427
26,00aad6b578474af5863466361fdf649f,3,2,38927979,38928164,762.505536,447.456852,775.636224,471.78860399999996,185,27.64867307381756
27,00aad6b578474af5863466361fdf649f,3,2,38928433,38928531,775.636224,471.78860399999996,720.9456,497.60945999999996,98,60.479591252604436
28,00aad6b578474af5863466361fdf649f,3,2,38928708,38928900,720.9456,497.60945999999996,965.8354559999999,859.7286,192,437.15136180279745
29,00aad6b578474af5863466361fdf649f,3,2,38929045,38929204,965.8354559999999,859.7286,543.1966080000001,839.30364,159,423.13210092094
30,00aad6b578474af5863466361fdf649f,3,2,38929316,38929413,543.1966080000001,839.30364,625.341888,449.464032,97,398.4002597788712
31,00aad6b578474af5863466361fdf649f,3,2,38929541,38929972,625.341888,449.464032,669.1831679999999,466.922556,431,47.18959516987791
32,00aad6b578474af5863466361fdf649f,3,2,38930309,38930452,669.1831679999999,466.922556,576.88224,421.572816,143,102.83997388043602
33,00aad6b578474af5863466361fdf649f,3,2,38930580,38930820,576.88224,421.572816,686.261376,499.031496,240,134.0285137552786
34,00aad6b578474af5863466361fdf649f,3,2,38931092,38931188,686.261376,499.031496,544.335744,541.894536,96,148.25695672258027
35,00aad6b578474af5863466361fdf649f,3,2,38931285,38931716,544.335744,541.894536,711.210816,441.316188,431,194.84171458241252
36,00aad6b578474af5863466361fdf649f,3,2,38932196,38932228,711.210816,441.316188,798.357312,466.239348,32,90.64036446012123
37,00aad6b578474af5863466361fdf649f,3,2,38932388,38932500,798.357312,466.239348,932.3669759999999,827.082252,112,384.92361763413027
38,00aad6b578474af5863466361fdf649f,3,2,38933028,38933060,932.3669759999999,827.082252,719.875008,509.139216,32,382.414187243897
39,00aad6b578474af5863466361fdf649f,4,2,38933156,38933460,719.875008,509.139216,273.822912,442.204164,304,451.04630974239876
40,00aad6b578474af5863466361fdf649f,4,2,38933572,38933828,273.822912,442.204164,647.3178240000001,393.40566,256,376.6692757347297
